ano,regiao,dependencia,remuneracao_media,remuneracao_40h
2020.0,Brasil,Federal,12842.94,12977.57
2020.0,Brasil,Federal,12874.38,13008.12
2020.0,Brasil,Federal,9363.702,9560.728
2020.0,Brasil,Estadual,3625.783,4946.537
2020.0,Brasil,Estadual,3663.242,5003.344
2020.0,Brasil,Estadual,2366.3,3109.088
2020.0,Brasil,Municipal,3580.329,4896.647
2020.0,Brasil,Municipal,3702.717,5075.581
2020.0,Brasil,Municipal,2568.728,3448.272
2020.0,Brasil,Privada,2486.165,3534.282
2020.0,Brasil,Privada,2672.561,3894.577
2020.0,Brasil,Privada,1604.535,2044.323
2020.0,Brasil,Pública,3758.936,5104.731
2020.0,Brasil,Pública,3859.774,5248.389
2020.0,Brasil,Pública,2554.814,3417.275
